pmid,title,year,journal,doi,sources,source_count
31065280,,,,,A3_epithelium_limbus,1
31075513,,,,,D3_full_thickness_multilayer,1
31129253,,,,,C4_endothelium,1
31129362,,,,,B3_stroma,1
31135493,,,,,C4_endothelium,1
31138243,,,,,C4_endothelium,1
31146996,,,,,B3_stroma,1
31157156,,,,,C4_endothelium,1
31161710,,,,,A3_epithelium_limbus,1
31169610,,,,,C4_endothelium,1
31174988,,,,,C4_endothelium,1
31206397,,,,,C4_endothelium,1
31219885,,,,,C4_endothelium,1
31228462,,,,,B3_stroma,1
31240872,,,,,D3_full_thickness_multilayer,1
31246680,,,,,C4_endothelium,1
31258659,,,,,C4_endothelium,1
31282615,,,,,C4_endothelium,1
31284096,,,,,B3_stroma,1
31299664,,,,,C4_endothelium,1
31349505,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
31369719,,,,,C4_endothelium,1
31373143,,,,,A3_epithelium_limbus;B3_stroma,2
31375008,,,,,A3_epithelium_limbus,1
31375736,,,,,B3_stroma,1
31394551,,,,,C4_endothelium,1
31397733,,,,,A3_epithelium_limbus,1
31400069,,,,,A3_epithelium_limbus,1
31420720,,,,,C4_endothelium,1
31424832,,,,,C4_endothelium,1
31428467,,,,,C4_endothelium,1
31429828,,,,,C4_endothelium,1
31435712,,,,,B3_stroma,1
31440691,,,,,A3_epithelium_limbus;B3_stroma,2
31445001,,,,,B3_stroma,1
31468094,,,,,D3_full_thickness_multilayer,1
31478948,,,,,C4_endothelium,1
31490274,,,,,C4_endothelium,1
31490646,,,,,B3_stroma,1
31491427,,,,,C4_endothelium,1
31507241,,,,,B3_stroma;D3_full_thickness_multilayer,2
31514545,,,,,A3_epithelium_limbus;B3_stroma,2
31517722,,,,,C4_endothelium,1
31523119,,,,,B3_stroma,1
31529796,,,,,B3_stroma,1
31532699,,,,,B3_stroma,1
31539656,,,,,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3
31545477,,,,,A3_epithelium_limbus,1
31546364,,,,,B3_stroma,1
31569699,,,,,B3_stroma,1
31574405,,,,,A3_epithelium_limbus;B3_stroma,2
31588337,,,,,B3_stroma,1
31614883,,,,,C4_endothelium,1
31624357,,,,,B3_stroma,1
31633686,,,,,C4_endothelium,1
31646043,,,,,B3_stroma,1
31647928,,,,,C4_endothelium,1
31650789,,,,,C4_endothelium,1
31652804,,,,,A3_epithelium_limbus,1
31658170,,,,,C4_endothelium,1
31660114,,,,,C4_endothelium,1
31667480,,,,,A3_epithelium_limbus,1
31673223,,,,,B3_stroma,1
31688201,,,,,C4_endothelium,1
31692998,,,,,A3_epithelium_limbus;B3_stroma,2
31715589,,,,,B3_stroma,1
31746842,,,,,B3_stroma;D3_full_thickness_multilayer,2
31751086,,,,,B3_stroma,1
31751092,,,,,B3_stroma,1
31751429,,,,,B3_stroma;C4_endothelium;D3_full_thickness_multilayer,3
31781374,,,,,C4_endothelium,1
31805594,,,,,C4_endothelium,1
31811387,,,,,B3_stroma;D3_full_thickness_multilayer,2
31817298,,,,,B3_stroma;D3_full_thickness_multilayer,2
31837315,,,,,C4_endothelium,1
31851850,,,,,B3_stroma,1
31863726,,,,,C4_endothelium,1
31867140,,,,,B3_stroma;C4_endothelium,2
31881719,,,,,B3_stroma,1
31884496,,,,,B3_stroma,1
31903218,,,,,A3_epithelium_limbus,1
31924032,,,,,B3_stroma,1
31929592,,,,,C4_endothelium,1
31935380,,,,,B3_stroma,1
31937546,,,,,D3_full_thickness_multilayer,1
31956817,,,,,A3_epithelium_limbus;D3_full_thickness_multilayer,2
31988856,,,,,A3_epithelium_limbus,1
31988998,,,,,A3_epithelium_limbus,1
31990845,,,,,D3_full_thickness_multilayer,1
31999820,,,,,B3_stroma,1
32015414,,,,,C4_endothelium,1
32017400,,,,,C4_endothelium,1
32023420,,,,,A3_epithelium_limbus,1
32046198,,,,,B3_stroma,1
32064948,,,,,C4_endothelium,1
32074825,,,,,B3_stroma,1
32090903,,,,,B3_stroma,1
32090992,,,,,A3_epithelium_limbus,1
32097748,,,,,B3_stroma;D3_full_thickness_multilayer,2
32159412,,,,,C4_endothelium,1
32188843,,,,,B3_stroma;D3_full_thickness_multilayer,2
32195753,,,,,C4_endothelium,1
32197207,,,,,B3_stroma,1
32198835,,,,,C4_endothelium,1
32243419,,,,,C4_endothelium,1
32243420,,,,,C4_endothelium,1
32279044,,,,,B3_stroma,1
32282357,,,,,C4_endothelium,1
32283096,,,,,C4_endothelium,1
32292835,,,,,C4_endothelium,1
32301812,,,,,C4_endothelium,1
32301814,,,,,C4_endothelium,1
32317647,,,,,B3_stroma,1
32334721,,,,,B3_stroma,1
32343943,,,,,B3_stroma;D3_full_thickness_multilayer,2
32363924,,,,,C4_endothelium;D3_full_thickness_multilayer,2
32364211,,,,,A3_epithelium_limbus,1
