screening_id,pmid,title,year,journal,doi,corneal_layer,priority_level,strict_final_status,extraction_status,study_type,target_layer_final,biomaterial_category,specific_materials,fabrication_method,scaffold_architecture,cell_type_used,cell_source,growth_factors_or_bioactive_agents,optical_transparency_reported,optical_metric_details,mechanical_testing_reported,mechanical_metric_details,biological_testing_reported,biological_metric_details,in_vitro_model,ex_vivo_model,animal_model,clinical_evidence,follow_up_duration,main_outcomes,main_limitations,translational_readiness_level,benchmarking_relevance,include_in_final_review,extraction_notes,pilot_extraction_status,pilot_extraction_notes
PUBMED_0761,38486306,Bioprinting of human pluripotent stem cell derived corneal endothelial cells with hydrazone crosslinked hyaluronic acid bioink.,2024,Stem cell research & therapy,10.1186/s13287-024-03672-w,endothelium,High,Final core,not_started,experimental biomaterial / bioprinting study,endothelium,hydrogel bioink,hydrazone-crosslinked hyaluronic acid bioink with collagen IV / laminin-type additives,HA-based bioink preparation followed by hydrazone crosslinking and 3D bioprinting workflow,3D bioprinted hydrogel construct / endothelial cell-laden bioink system,human pluripotent stem cell-derived corneal endothelial-like cells,hPSC-derived cells,collagen IV / laminin-type endothelial-supporting additives,unclear / not primary focus,Not a main benchmarking strength from skim; verify during detailed extraction.,yes,"Rheological/printability properties including viscosity, shear-thinning, printability and shape fidelity.",yes,"Live/dead staining and endothelial marker expression including ZO-1, Na+/K+-ATPase, CD166 and STEM121.",yes,no,no,no,not applicable / in vitro study,"Bioink supported bioprinting of hPSC-derived corneal endothelial-like cells, maintained cell viability, supported endothelial marker expression and showed suitable printability/shape fidelity.",Mainly in vitro; limited optical benchmarking and no animal or clinical validation identified at skim stage.,early preclinical,high,yes,High-priority endothelial bioprinting paper. Strong for material/fabrication/biology/printability benchmarking; optical performance needs careful verification in full extraction.,completed,First pilot extraction row completed from skim-level full-text assessment.
PUBMED_0032,29413615,Functionalized silk fibroin film scaffold using β-Carotene for cornea endothelial cell regeneration.,2018,"Colloids and surfaces. B, Biointerfaces",10.1016/j.colsurfb.2017.11.052,endothelium,Medium,Added endothelial core from medium-priority screen,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,
PUBMED_0075,29998891,Constructing a Novel Three-Dimensional Biomimetic Corneal Endothelium Graft by Culturing Corneal Endothelium Cells on Compressed Collagen Gels.,2018,Chinese medical journal,10.4103/0366-6999.235883,endothelium,Medium,Added endothelial core from medium-priority screen,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,
PUBMED_0157,31129253,Investigating the effect of chitosan/ polycaprolactone blends in differentiation of corneal endothelial cells and extracellular matrix compositions.,2019,Experimental eye research,10.1016/j.exer.2019.05.019,endothelium,Medium,Added endothelial core from medium-priority screen,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,
PUBMED_0304,32622067,Evaluation of reconstructed human corneal endothelium sheets made with porcine Descemet's membrane in vitro and in vivo.,2020,Experimental eye research,10.1016/j.exer.2020.108125,endothelium,Medium,Added endothelial core from medium-priority screen,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,
PUBMED_0588,36080636,Customizable Collagen Vitrigel Membranes and Preliminary Results in Corneal Engineering.,2022,Polymers,10.3390/polym14173556,endothelium,Medium,Added endothelial core from medium-priority screen,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,not_started,
