screening_id,pmid,title,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_1001,41170125,Feasibility of Descemet membrane endothelial keratoplasty with preloaded and trifolded graft after 96-hour storage and shipping.,2025,Eye banking and corneal transplantation,10.1097/ebct.0000000000000036,C4_endothelium,1,,,,,
PUBMED_1002,41170239,Fluid-Assisted Hydro-Bubble Technique With Newly Designed Cannula for Deep Anterior Lamellar Keratoplasty.,2025,Cureus,10.7759/cureus.93344,C4_endothelium,1,,,,,
PUBMED_1003,41177136,Thermoplastic silk-plasticizer membranes for biodegradable artificial corneal endothelium.,2026,Biomaterials,10.1016/j.biomaterials.2025.123817,B3_stroma,1,,,,,
PUBMED_1004,41179628,Rabbit Corneal Wound Treatment Using Small Intestinal Submucosa (SIS) and Platelet Rich Plasma (PRP) Scaffold.,2025,Archives of Razi Institute,10.32592/ARI.2025.80.2.389,A3_epithelium_limbus,1,,,,,
PUBMED_1005,41202160,Enhanced Corneal Wound Healing and Neovascularization Suppression via AME-SupraGel: A Biocompatible Hydrogel with Sustained Release and Stability.,2025,ACS biomaterials science & engineering,10.1021/acsbiomaterials.5c01303,A3_epithelium_limbus,1,,,,,
PUBMED_1006,41203155,Photocurable hybrid hydrogels based on gelatin and polysaccharides for sutureless repair of corneal defects.,2025,International journal of biological macromolecules,10.1016/j.ijbiomac.2025.148835,A3_epithelium_limbus;B3_stroma,2,,,,,
PUBMED_1007,41205143,Tomographic Differences in Thin Corneas Following DMEK in Fuchs Dystrophy: A Case-Control Study.,2026,Ophthalmology and therapy,10.1007/s40123-025-01260-6,C4_endothelium,1,,,,,
PUBMED_1008,41212961,Extracorporeal Optimization of Corneal Allogenic Intrastromal Ring Segments (ECO-CAIRS) Using Ultra-high-Fluence Corneal Cross-linking.,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",10.3928/1081597X-20250917-02,B3_stroma,1,,,,,
PUBMED_1009,41218465,Matrix stiffness modulates YAP-mediated glycolysis and proliferation in human corneal endothelial cells.,2026,Biomaterials advances,10.1016/j.bioadv.2025.214594,C4_endothelium;D3_full_thickness_multilayer,2,,,,,
PUBMED_1010,41232794,A sustainable tissue-specific hydrogel from decellularized corneal ECM for 3D In vitro ocular models.,2026,Experimental eye research,10.1016/j.exer.2025.110730,A3_epithelium_limbus,1,,,,,
PUBMED_1011,41234357,The impact of the limbal niche interactions on the self-renewal capability of limbal epithelial stem cells.,2025,Frontiers in cell and developmental biology,10.3389/fcell.2025.1667309,A3_epithelium_limbus;B3_stroma,2,,,,,
PUBMED_1012,41253010,Collagen content and crosslinks alter the biomechanical properties of corneal tissues.,2026,Journal of the mechanical behavior of biomedical materials,10.1016/j.jmbbm.2025.107276,B3_stroma,1,,,,,
PUBMED_1013,41341834,Deep learning-assisted widefield endothelial imaging in Descemet membrane endothelial keratoplasty.,2025,Frontiers in medicine,10.3389/fmed.2025.1715673,C4_endothelium,1,,,,,
PUBMED_1014,41356124,ECM stiffness governs endothelial barrier integrity through YAP-mediated stabilization of ZO-1.,2026,Bioactive materials,10.1016/j.bioactmat.2025.10.029,C4_endothelium,1,,,,,
PUBMED_1015,41359360,Alkaline Phosphatase-Triggered Spatiotemporal Repair of Corneal Injury with TB500 Peptide Hydrogel.,2025,ACS applied materials & interfaces,10.1021/acsami.5c14652,A3_epithelium_limbus;B3_stroma,2,,,,,
PUBMED_1016,41379646,Descemet Membrane Versus Amniotic Membrane for Limbal Stem Cell Therapy.,2026,Cornea,10.1097/ICO.0000000000004073,A3_epithelium_limbus;D3_full_thickness_multilayer,2,,,,,
PUBMED_1017,41396330,Use of very young donor grafts in descemet membrane endothelial keratoplasty: perioperative and early postoperative observations.,2025,International ophthalmology,10.1007/s10792-025-03917-4,C4_endothelium,1,,,,,
PUBMED_1018,41411262,High-resolution biomechanical mapping of SMILE and SMILE with CXL using Brillouin microscopy: Insights into localized corneal stiffness preservation.,2025,PloS one,10.1371/journal.pone.0338302,B3_stroma,1,,,,,
PUBMED_1019,41417772,Preoperative and perioperative factors that predict endothelial cell loss 1 year after uncomplicated Descemet membrane endothelial keratoplasty.,2025,PloS one,10.1371/journal.pone.0339346,C4_endothelium,1,,,,,
PUBMED_1020,41427066,Experimental Study of the Effect of Corneal Bio-Coating Based on the Original Hydrogel Biopolymer Scaffold on the Anterior Segment Structures of the Eye.,2025,Sovremennye tekhnologii v meditsine,10.17691/stm2025.17.4.04,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3,,,,,
PUBMED_1021,41460069,3D-Bioprinted Biomimetic Epithelial-Stromal Hydrogel Construct with In Situ Photocrosslinkable Bioadhesive for Suture-Free Corneal Regeneration.,2026,Advanced healthcare materials,10.1002/adhm.202504578,A3_epithelium_limbus;B3_stroma;D3_full_thickness_multilayer,3,,,,,
PUBMED_1022,41466391,Predictive biomarkers for the prognosis of phacoemulsification and posterior chamber intraocular lens implantation in Fuchs endothelial corneal dystrophy.,2025,BMC ophthalmology,10.1186/s12886-025-04521-x,C4_endothelium,1,,,,,
PUBMED_1023,41471055,Generation of a Bioengineered Substitute of the Human Sclero-Corneal Limbus Using a Novel Decellularization Method.,2025,Pharmaceutics,10.3390/pharmaceutics17121540,A3_epithelium_limbus,1,,,,,
