screening_id,pmid,title,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_0601,36356877,Silk fibroin based interpenetrating network hydrogel for corneal stromal regeneration.,2022,International journal of biological macromolecules,10.1016/j.ijbiomac.2022.11.021,B3_stroma;D3_full_thickness_multilayer,2,,,,,
PUBMED_0602,36370413,An in vitro comparison of human corneal epithelial cell activity and inflammatory response on differently designed ocular amniotic membranes and a clinical case study.,2023,"Journal of biomedical materials research. Part B, Applied biomaterials",10.1002/jbm.b.35186,A3_epithelium_limbus;B3_stroma,2,,,,,
PUBMED_0603,36416454,Electrospun-Reinforced Suturable Biodegradable Artificial Cornea.,2022,ACS applied bio materials,10.1021/acsabm.2c00751,B3_stroma;D3_full_thickness_multilayer,2,,,,,
PUBMED_0604,36441906,Preparation and Evaluation of Bacterial Nanocellulose/Hyaluronic Acid Composite Artificial Cornea for Application of Corneal Transplantation.,2023,Biomacromolecules,10.1021/acs.biomac.2c01052,B3_stroma,1,,,,,
PUBMED_0605,36458563,Use of Decellularized SMILE (Small-Incision Lenticule Extraction) Lenticules for Engineering the Corneal Endothelial Layer: A Proof-of-Concept.,2023,Current eye research,10.1080/02713683.2022.2151018,B3_stroma;C4_endothelium;D3_full_thickness_multilayer,3,,,,,
PUBMED_0606,36497012,Transcriptomic Landscape and Functional Characterization of Human Induced Pluripotent Stem Cell-Derived Limbal Epithelial Progenitor Cells.,2022,Cells,10.3390/cells11233752,A3_epithelium_limbus;C4_endothelium,2,,,,,
PUBMED_0607,36499651,The Soluble Guanylate Cyclase Stimulator BAY 41-2272 Attenuates Transforming Growth Factor β1-Induced Myofibroblast Differentiation of Human Corneal Keratocytes.,2022,International journal of molecular sciences,10.3390/ijms232315325,B3_stroma,1,,,,,
PUBMED_0608,36502465,Tissue Engineered Mini-Cornea Model for Eye Irritation Test.,2023,Tissue engineering and regenerative medicine,10.1007/s13770-022-00504-x,A3_epithelium_limbus;D3_full_thickness_multilayer,2,,,,,
PUBMED_0609,36531590,Cellular Interplay Through Extracellular Vesicle miR-184 Alleviates Corneal Endothelium Degeneration.,2022,Ophthalmology science,10.1016/j.xops.2022.100212,C4_endothelium,1,,,,,
PUBMED_0610,36536596,The need of rebubbling in case of small graft detachments after Descemet Membrane Endothelial Keratoplasty (DMEK).,2023,European journal of ophthalmology,10.1177/11206721221146579,C4_endothelium,1,,,,,
PUBMED_0611,36536960,Effect of the position of the corneal lamella on the frequency of its detachment.,2022,International journal of ophthalmology,10.18240/ijo.2022.12.07,C4_endothelium,1,,,,,
PUBMED_0612,36542355,Descemet Membrane Endothelial Keratoplasty and Triple Descemet Membrane Endothelial Keratoplasty in Eyes With Macular Comorbidity.,2023,Cornea,10.1097/ICO.0000000000003113,C4_endothelium,1,,,,,
PUBMED_0613,36563893,Keratin films for ocular surface reconstruction: Wound healing in an in-vivo model.,2023,Experimental eye research,10.1016/j.exer.2022.109356,B3_stroma;D3_full_thickness_multilayer,2,,,,,
PUBMED_0614,36564919,Corneal sustained delivery of hyaluronic acid from nanofiber-containing ring-implanted contact lens.,2023,Journal of biomaterials applications,10.1177/08853282221146390,A3_epithelium_limbus,1,,,,,
PUBMED_0615,36575840,"Measurement of the Elastic Modulus of Cornea, Sclera and Limbus: The Importance of the Corneal-Limbus-Scleral Biomechanical Unit.",2022,Frontiers in bioscience (Scholar edition),10.31083/j.fbs1404030,B3_stroma,1,,,,,
PUBMED_0616,36579828,Hyaluronic acid based next generation bioink for 3D bioprinting of human stem cell derived corneal stromal model with innervation.,2022,Biofabrication,10.1088/1758-5090/acab34,B3_stroma;D3_full_thickness_multilayer,2,,,,,
