screening_id,pmid,title,year,journal,doi,sources,source_count,decision,exclusion_reason,corneal_layer,priority_level,screening_notes
PUBMED_0301,32578462,Optisol-GS Storage of Cultured Human Limbal Epithelial Cells at Ambient Temperature Is Superior to Hypothermic Storage.,2020,Current eye research,10.1080/02713683.2020.1770295,A3_epithelium_limbus,1,,,,,
PUBMED_0302,32599277,Long-term outcomes of cultivated cell sheet transplantation for treating total limbal stem cell deficiency.,2020,The ocular surface,10.1016/j.jtos.2020.06.005,A3_epithelium_limbus,1,,,,,
PUBMED_0303,32603022,Designer Descemet Membranes Containing PDLLA and Functionalized Gelatins as Corneal Endothelial Scaffold.,2020,Advanced healthcare materials,10.1002/adhm.202000760,C4_endothelium,1,,,,,
PUBMED_0304,32622067,Evaluation of reconstructed human corneal endothelium sheets made with porcine Descemet's membrane in vitro and in vivo.,2020,Experimental eye research,10.1016/j.exer.2020.108125,C4_endothelium,1,,,,,
PUBMED_0305,32624364,The morphology of corneal endothelial cells in long term soft contact lens wearers in Kuala Lumpur.,2021,Contact lens & anterior eye : the journal of the British Contact Lens Association,10.1016/j.clae.2020.06.007,C4_endothelium,1,,,,,
PUBMED_0306,32632151,Risk factors for endothelial cell loss after Descemet membrane endothelial keratoplasty (DMEK).,2020,Scientific reports,10.1038/s41598-020-68023-0,C4_endothelium,1,,,,,
PUBMED_0307,32652228,Biomimetic corneal stroma using electro-compacted collagen.,2020,Acta biomaterialia,10.1016/j.actbio.2020.07.004,B3_stroma;D3_full_thickness_multilayer,2,,,,,
PUBMED_0308,32652796,Decellularized human corneal stromal cell sheet as a novel matrix for ocular surface reconstruction.,2020,Journal of tissue engineering and regenerative medicine,10.1002/term.3103,B3_stroma;D3_full_thickness_multilayer,2,,,,,
PUBMED_0309,32656620,First report of a new corneal pathogen: Phaeoacremonium parasiticum.,2020,European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,10.1007/s10096-020-03980-y,B3_stroma,1,,,,,
PUBMED_0310,32659279,Three-Year Outcomes of Tri-Folded Endothelium-In Descemet Membrane Endothelial Keratoplasty With Pull-Through Technique.,2020,American journal of ophthalmology,10.1016/j.ajo.2020.07.004,C4_endothelium,1,,,,,
PUBMED_0311,32671048,Long-Term in vivo Evaluation of Orthotypical and Heterotypical Bioengineered Human Corneas.,2020,Frontiers in bioengineering and biotechnology,10.3389/fbioe.2020.00681,A3_epithelium_limbus,1,,,,,
