screening_id,pmid,title,upstream_corneal_layer,suggested_layer,dominant_score,upstream_score,confidence,confirmed_layer_correction,term_scores
PUBMED_0700,37555081,3D bioprinting of corneal decellularized extracellular matrix: GelMA composite hydrogel for corneal stroma engineering.,multiple_layers,stroma,4,1,lower,,"{'epithelium_limbus': 1, 'stroma': 4, 'multiple_layers': 1}"
PUBMED_0755,38466286,Substrate Stiffness Modulates Stemness and Differentiation of Rabbit Corneal Endothelium Through the Paxillin-YAP Pathway.,multiple_layers,endothelium,13,0,high,endothelium,"{'endothelium': 13, 'epithelium_limbus': 1}"
PUBMED_0797,39022184,Photoactivated growth factor release from bio-orthogonally crosslinked hydrogels for the regeneration of corneal defects.,multiple_layers,epithelium_limbus,7,0,lower,,"{'epithelium_limbus': 7, 'stroma': 2}"
PUBMED_0938,40481091,Therapeutic efficacy of BSA formulated hydrogels in corneal wound healing and epithelial cell regeneration: an ex vivo study.,multiple_layers,epithelium_limbus,7,0,lower,,"{'epithelium_limbus': 7, 'stroma': 4}"
PUBMED_0962,40762540,Human Omental Mesothelial Cells Exhibit a Corneal Endothelial-Like Cell Phenotype for Tissue Engineering of a Corneal Endothelium Biomimetic.,multiple_layers,endothelium,22,0,high,endothelium,"{'endothelium': 22, 'stroma': 5}"
PUBMED_0973,40893304,Hydrogel-Mediated Sustained Delivery of Corneal Epithelial Extracellular Vesicles: A Strategy for Enhanced Corneal Regeneration.,multiple_layers,epithelium_limbus,6,0,lower,,"{'epithelium_limbus': 6, 'stroma': 1}"
PUBMED_1031,41506503,Bioactive thermoresponsive fibronectin-Pluronic F127 hydrogel for sustained ocular delivery with corneal regeneration and anti-inflammatory effects.,multiple_layers,epithelium_limbus,5,0,lower,,"{'epithelium_limbus': 5, 'stroma': 1}"
PUBMED_0205,31574405,Tissue adhesive hyaluronic acid hydrogels for sutureless stem cell delivery and regeneration of corneal epithelium and stroma.,multiple_layers,epithelium_limbus,9,0,lower,,"{'epithelium_limbus': 9, 'stroma': 4}"
PUBMED_0556,35741104,P-Cadherin Is Expressed by Epithelial Progenitor Cells and Melanocytes in the Human Corneal Limbus.,multiple_layers,epithelium_limbus,19,0,high,epithelium_limbus,"{'epithelium_limbus': 19, 'stroma': 1}"
PUBMED_0253,32097748,Multifunctional synthetic Bowman's membrane-stromal biomimetic for corneal reconstruction.,multiple_layers,stroma,8,3,lower,,"{'epithelium_limbus': 6, 'stroma': 8, 'multiple_layers': 3}"
PUBMED_0540,35386466,3D printed biomimetic epithelium/stroma bilayer hydrogel implant for corneal regeneration.,multiple_layers,epithelium_limbus,8,0,lower,,"{'epithelium_limbus': 8, 'stroma': 8}"
PUBMED_0652,37056274,MiRNA 24-3p-rich exosomes functionalized DEGMA-modified hyaluronic acid hydrogels for corneal epithelial healing.,multiple_layers,epithelium_limbus,11,0,high,epithelium_limbus,"{'epithelium_limbus': 11, 'stroma': 1}"
PUBMED_0726,37988231,Biomimetic Corneal Stroma for Scarless Corneal Wound Healing via Structural Restoration and Microenvironment Modulation.,multiple_layers,stroma,11,0,high,stroma,"{'epithelium_limbus': 1, 'stroma': 11}"
PUBMED_0842,39556946,Bioprinting a resilient and transparent cornea stroma equivalent: harnessing dual crosslinking strategy with decellularized cornea matrix and silk fibroin hybrid.,multiple_layers,stroma,4,0,lower,,"{'epithelium_limbus': 1, 'stroma': 4}"
PUBMED_0989,41070062,Comparison of the regenerative potential of different functionalized gelatin-based hydrogels as fillers of rabbit corneal wounds.,multiple_layers,epithelium_limbus,5,0,lower,,"{'epithelium_limbus': 5, 'stroma': 1}"
PUBMED_0269,32343943,A core-skirt designed artificial cornea with orthogonal microfiber grid scaffold.,stroma,multiple_layers,6,1,lower,,"{'stroma': 1, 'multiple_layers': 6}"
PUBMED_0409,33782482,Biofabrication of chitosan/chitosan nanoparticles/polycaprolactone transparent membrane for corneal endothelial tissue engineering.,stroma,endothelium,6,1,lower,,"{'endothelium': 6, 'stroma': 1}"
PUBMED_0484,34677503,Preliminary Study on Fish Scale Collagen Lamellar Matrix as Artificial Cornea.,stroma,multiple_layers,4,0,lower,,{'multiple_layers': 4}
PUBMED_0255,32188843,Fiber reinforced GelMA hydrogel to induce the regeneration of corneal stroma.,multiple_layers,stroma,10,0,high,stroma,"{'epithelium_limbus': 1, 'stroma': 10}"
PUBMED_0433,34119551,The effect of biodegradable silk fibroin-based scaffolds containing glial cell line-derived neurotrophic factor (GDNF) on the corneal regeneration process.,multiple_layers,epithelium_limbus,4,0,lower,,"{'epithelium_limbus': 4, 'stroma': 4}"
PUBMED_0538,35362956,Scaffold-Free Strategy Using a PEG-Dextran Aqueous Two-Phase-System for Corneal Tissue Repair.,multiple_layers,epithelium_limbus,4,0,lower,,"{'endothelium': 1, 'epithelium_limbus': 4}"
PUBMED_0548,35562005,LM22B-10 promotes corneal nerve regeneration through in vitro 3D co-culture model and in vivo corneal injury model.,multiple_layers,stroma,5,0,lower,,"{'epithelium_limbus': 3, 'stroma': 5}"
PUBMED_1020,41427066,Experimental Study of the Effect of Corneal Bio-Coating Based on the Original Hydrogel Biopolymer Scaffold on the Anterior Segment Structures of the Eye.,multiple_layers,endothelium,4,0,lower,,"{'endothelium': 4, 'epithelium_limbus': 2, 'stroma': 3}"
